Number,GivenName,Surname,StreetAddress,City,State,ZipCode,EmailAddress,TelephoneNumber
1,Anthony,Dacosta,2600 Rafe Lane,Jackson,MS,39201,AnthonyJDacosta@pookmail.com,662-718-2255
2,Jason,Saltsman,2729 Robinson Lane,Delaware,OH,43015,JasonLSaltsman@spambob.com,740-368-9998
3,Linda,Vargas,3187 Oakwood Circle,Irvine,CA,92614,LindaJVargas@dodgit.com,949-279-5011
4,Dustin,Kersey,213 Lakeland Park Drive,Stone Mountain,GA,30083,DustinCKersey@trashymail.com,770-558-2865
5,Maureen,Frazier,1823 Chicago Avenue,Visalia,CA,93291,MaureenEFrazier@spambob.com,559-623-2568
6,Lashanda,Bolinger,389 Gladwell Street,Gunter,TX,75058,LashandaLBolinger@pookmail.com,903-228-9981
7,Una,Nichols,3001 Lakewood Drive,Jersey City,NJ,7307,UnaLNichols@dodgit.com,201-885-4349
8,Paula,Waldron,2637 Leroy Lane,Somerset,KY,42564,PaulaDWaldron@mailinator.com,606-231-0180
9,Margaret,Pharr,979 Turkey Pen Lane,Enterprise,AL,36330,MargaretMPharr@mailinator.com,334-464-0703
10,Adolph,Humphery,2705 Rodney Street,Imperial,MO,63052,AdolphRHumphery@dodgit.com,636-467-3513
11,Robert,England,3144 Philli Lane,Tulsa,OK,74120,RobertKEngland@spambob.com,918-506-4259
12,Lisa,Johnson,247 Broadcast Drive,Washington,VA,20004,LisaDJohnson@mailinator.com,703-982-1006
13,Kelly,Newman,3942 West Side Avenue,Jersey City,NJ,7306,KellyANewman@dodgit.com,201-239-6531
14,Gertie,Morales,1100 Rubaiyat Road,Grand Rapids,MI,49503,GertieMMorales@pookmail.com,231-628-8736
15,David,Stanley,4996 Hog Camp Road,Justice,IL,60458,DavidCStanley@spambob.com,708-516-0245
16,Kerry,King,1608 Hillside Street,Mesa,AZ,85201,KerryMKing@pookmail.com,480-523-5284
17,Alex,Engle,4800 Fairmont Avenue,Kansas City,MO,64106,AlexPEngle@spambob.com,660-357-8502
18,Shirley,Cannon,597 Essex Court,South Burlington,VT,5403,ShirleyMCannon@mailinator.com,802-357-3579
19,Shirley,Ramos,117 Southern Street,Long Island City,NY,11101,ShirleyJRamos@spambob.com,516-723-2714
20,Bernard,Weir,3924 Henery Street,Wichita,KS,67202,BernardRWeir@pookmail.com,316-734-7840
